matchup,episode,score
C_vs_B,1,-1
C_vs_B,2,0
C_vs_B,3,-1
C_vs_B,4,-2
C_vs_B,5,0
C_vs_B,6,-2
C_vs_B,7,-1
C_vs_B,8,-3
C_vs_B,9,-1
C_vs_B,10,-1
C_vs_B,11,2
C_vs_B,12,-1
C_vs_B,13,-1
C_vs_B,14,-1
C_vs_B,15,-2
C_vs_B,16,-1
C_vs_B,17,0
C_vs_B,18,-1
C_vs_B,19,-1
C_vs_B,20,1
C_vs_B,21,-2
C_vs_B,22,-1
C_vs_B,23,0
C_vs_B,24,-2
C_vs_B,25,-2
C_vs_B,26,0
C_vs_B,27,-2
C_vs_B,28,-1
C_vs_B,29,-2
C_vs_B,30,0
C_vs_B,31,-2
C_vs_B,32,0
C_vs_B,33,-3
C_vs_B,34,-1
C_vs_B,35,-1
C_vs_B,36,0
C_vs_B,37,0
C_vs_B,38,4
C_vs_B,39,0
C_vs_B,40,0
C_vs_B,41,1
C_vs_B,42,0
C_vs_B,43,0
C_vs_B,44,-1
C_vs_B,45,-2
C_vs_B,46,-2
C_vs_B,47,-3
C_vs_B,48,-1
C_vs_B,49,-2
C_vs_B,50,-2
C_vs_B,51,1
C_vs_B,52,1
C_vs_B,53,-1
C_vs_B,54,-2
C_vs_B,55,-2
C_vs_B,56,0
C_vs_B,57,0
C_vs_B,58,-1
C_vs_B,59,-2
C_vs_B,60,-1
C_vs_B,61,-1
C_vs_B,62,-3
C_vs_B,63,-3
C_vs_B,64,-1
C_vs_B,65,-1
C_vs_B,66,0
C_vs_B,67,-1
C_vs_B,68,0
C_vs_B,69,0
C_vs_B,70,0
C_vs_B,71,-2
C_vs_B,72,0
C_vs_B,73,0
C_vs_B,74,-2
C_vs_B,75,1
C_vs_B,76,0
C_vs_B,77,-2
C_vs_B,78,-1
C_vs_B,79,-3
C_vs_B,80,0
C_vs_B,81,0
C_vs_B,82,-3
C_vs_B,83,-3
C_vs_B,84,-2
C_vs_B,85,0
C_vs_B,86,0
C_vs_B,87,-1
C_vs_B,88,0
C_vs_B,89,-1
C_vs_B,90,-1
C_vs_B,91,-2
C_vs_B,92,-3
C_vs_B,93,0
C_vs_B,94,1
C_vs_B,95,0
C_vs_B,96,0
C_vs_B,97,-3
C_vs_B,98,-2
C_vs_B,99,0
C_vs_B,100,-4
C_vs_B,101,-1
C_vs_B,102,-2
C_vs_B,103,0
C_vs_B,104,-2
C_vs_B,105,-1
C_vs_B,106,1
C_vs_B,107,-1
C_vs_B,108,-1
C_vs_B,109,-2
C_vs_B,110,0
C_vs_B,111,-1
C_vs_B,112,-1
C_vs_B,113,-2
C_vs_B,114,1
C_vs_B,115,0
C_vs_B,116,-3
C_vs_B,117,-1
C_vs_B,118,0
C_vs_B,119,0
C_vs_B,120,-3
C_vs_B,121,-1
C_vs_B,122,0
C_vs_B,123,-2
C_vs_B,124,0
C_vs_B,125,0
C_vs_B,126,-1
C_vs_B,127,0
C_vs_B,128,0
C_vs_B,129,-1
C_vs_B,130,0
C_vs_B,131,0
C_vs_B,132,0
C_vs_B,133,0
C_vs_B,134,-2
C_vs_B,135,-1
C_vs_B,136,0
