episode,reward,length,agent_lives,opponent_lives,outcome
1,0.0,3000,5,5,draw
2,-3.0,3000,2,5,draw
3,-2.0,3000,3,5,draw
4,0.0,3000,5,5,draw
5,-1.0,3000,4,5,draw
6,-1.0,3000,2,3,draw
7,-1.0,3000,4,5,draw
8,-3.0,3000,2,5,draw
9,0.0,3000,4,4,draw
10,0.0,3000,5,5,draw
11,0.0,3000,5,5,draw
12,-2.0,3000,3,5,draw
13,0.0,3000,4,4,draw
14,-1.0,3000,4,5,draw
15,1.0,3000,5,4,draw
16,-1.0,3000,4,5,draw
17,-2.0,3000,3,5,draw
18,-3.0,3000,2,5,draw
19,-1.0,3000,4,5,draw
20,-1.0,3000,3,4,draw
21,0.0,3000,4,4,draw
22,-1.0,3000,4,5,draw
23,0.0,3000,4,4,draw
24,0.0,3000,4,4,draw
25,0.0,3000,5,5,draw
26,0.0,3000,5,5,draw
27,-2.0,3000,3,5,draw
28,0.0,3000,5,5,draw
29,-1.0,3000,4,5,draw
30,-1.0,3000,4,5,draw
31,-2.0,3000,3,5,draw
32,0.0,3000,4,4,draw
33,0.0,3000,4,4,draw
34,-1.0,3000,4,5,draw
35,0.0,3000,5,5,draw
36,-1.0,3000,4,5,draw
37,-1.0,3000,3,4,draw
38,-2.0,3000,3,5,draw
39,-3.0,3000,2,5,draw
40,-2.0,3000,3,5,draw
41,-1.0,3000,4,5,draw
42,-3.0,3000,2,5,draw
43,-1.0,3000,4,5,draw
44,-1.0,3000,4,5,draw
45,-1.0,3000,4,5,draw
46,-2.0,3000,3,5,draw
47,0.0,3000,5,5,draw
48,1.0,3000,4,3,draw
49,1.0,3000,4,3,draw
50,0.0,3000,5,5,draw
51,-1.0,3000,4,5,draw
52,-1.0,3000,4,5,draw
53,-4.0,3000,1,5,draw
54,0.0,3000,5,5,draw
55,0.0,3000,4,4,draw
56,1.0,3000,4,3,draw
57,0.0,3000,5,5,draw
58,-2.0,3000,1,3,draw
59,-3.0,3000,2,5,draw
60,-2.0,3000,3,5,draw
61,-1.0,3000,4,5,draw
62,-1.0,3000,4,5,draw
63,0.0,3000,4,4,draw
64,-1.0,3000,4,5,draw
65,-3.0,3000,2,5,draw
66,-1.0,3000,3,4,draw
67,-1.0,3000,3,4,draw
68,-1.0,3000,3,4,draw
69,1.0,3000,5,4,draw
70,-2.0,3000,3,5,draw
71,-1.0,3000,4,5,draw
72,-3.0,3000,2,5,draw
73,0.0,3000,4,4,draw
74,-1.0,3000,4,5,draw
75,-1.0,3000,4,5,draw
76,-1.0,3000,4,5,draw
77,0.0,3000,5,5,draw
78,1.0,3000,5,4,draw
79,-3.0,3000,2,5,draw
80,-1.0,3000,4,5,draw
81,-2.0,3000,3,5,draw
82,-1.0,3000,4,5,draw
83,-1.0,3000,4,5,draw
84,0.0,3000,5,5,draw
85,-2.0,3000,2,4,draw
86,-1.0,3000,4,5,draw
87,1.0,3000,5,4,draw
88,-2.0,3000,3,5,draw
89,1.0,3000,5,4,draw
90,1.0,3000,5,4,draw
91,0.0,3000,5,5,draw
92,-2.0,3000,3,5,draw
93,-1.0,3000,3,4,draw
94,1.0,3000,4,3,draw
95,0.0,3000,5,5,draw
96,-1.0,3000,4,5,draw
97,-1.0,3000,3,4,draw
98,0.0,3000,5,5,draw
99,-1.0,3000,4,5,draw
100,-1.0,3000,3,4,draw
101,0.0,3000,5,5,draw
102,-3.0,3000,2,5,draw
103,-3.0,3000,1,4,draw
104,-3.0,3000,2,5,draw
105,0.0,3000,4,4,draw
106,0.0,3000,4,4,draw
107,-2.0,3000,3,5,draw
108,-1.0,3000,4,5,draw
109,-2.0,3000,3,5,draw
110,-2.0,3000,3,5,draw
111,-2.0,3000,3,5,draw
112,0.0,3000,5,5,draw
113,0.0,3000,5,5,draw
114,-2.0,3000,3,5,draw
115,2.0,3000,5,3,draw
116,-1.0,3000,4,5,draw
117,1.0,3000,4,3,draw
118,0.0,3000,4,4,draw
119,0.0,3000,4,4,draw
120,-1.0,3000,4,5,draw
121,-1.0,3000,4,5,draw
122,1.0,3000,4,3,draw
123,-1.0,3000,4,5,draw
124,-1.0,3000,4,5,draw
125,-2.0,3000,3,5,draw
126,0.0,3000,5,5,draw
